Density,Porosity,PLI,Pwave,SDI,PSI,UCS,YM
2.285,8.46,1.515,2.69,94.164,1.111,59.12,4.34
2.318,9.48,1.885,2.516,96.222,0.862,59.46,4.712
2.274,9.42,2.829,2.416,92.538,0.813,70.88,5.78
2.216,9.07,2.116,2.603,94.125,1.25,75.59,5.51
2.246,9.1,2.572,2.493,92.573,1.471,83.81,7.15
2.259,8.95,1.889,2.785,92.403,0.538,66.4,5.68
2.216,10.64,2.111,2.492,88.285,0.508,60.24,5.75
2.201,10.87,1.846,2.375,88.31,0.493,53.38,4.39
2.238,10.37,1.956,2.421,85.819,0.476,52.89,4.4
2.417,9.16,2.416,2.403,89.528,0.625,69.91,5.47
2.175,10.82,1.978,2.282,93.523,0.518,58.63,5.46
2.279,9.72,2.402,2.546,91.574,0.571,66.76,6.11
2.207,10.27,1.829,2.458,95.482,0.667,55.57,5.1
2.009,13.61,0.639,2.362,80.702,0.452,24.66,2.59
2.036,12.08,1.156,2.327,87.753,0.389,46.46,5.75
2.014,12.05,1.327,2.269,89.964,0.27,30.96,3.02
2.231,11.22,1.448,2.298,92.114,0.424,40.64,3.55
2.068,11.01,1.637,2.177,93.902,0.769,36.51,2.84
2.248,9.27,1.991,2.398,91.393,0.893,57.78,4.84
2.218,10.2,1.592,2.348,91.912,0.781,57.92,4.58
2.241,9.02,1.998,2.189,92.631,0.794,51.27,2.7
2.158,10.92,1.742,2.436,92.761,0.735,64.84,4.45
2.26,9.38,1.944,2.524,93.937,0.794,45.67,3.92
2.482,6.47,3.378,2.71,94.702,1.515,90.69,10.83
2.423,6.4,2.922,2.737,94.433,1.282,94.463,8.98
2.107,11.8,1.294,2.159,90.352,0.588,39.905,4.023
2.133,10.26,1.35,2.145,89.618,0.495,43.37,4.32
2.116,9.6,1.189,2.104,83.206,0.556,38.772,3.677
2.155,9.46,1.587,2.295,88.314,0.521,41.767,4.564
2.208,9.06,1.429,2.124,94.448,0.422,43.707,5.446
2.232,8.21,1.602,2.203,93.051,0.541,66.28,6.98
2.244,8,1.635,2.22,96.906,0.725,75.574,7.46
2.299,6.85,1.987,2.445,92.198,0.543,73.405,3.79
2.248,7.51,1.794,2.281,89.513,0.448,68.46,4.762
2.375,6.61,2.345,2.539,96.261,0.926,95.4,9.665
2.304,7.31,2.549,2.354,95.722,0.758,83.98,4.7
2.191,8.26,1.539,2.146,93.54,0.424,67.551,5.805
2.148,11.46,0.955,2.177,85.519,0.351,56.467,4.658
2.105,12.58,1.05,2.262,90.425,0.405,45.125,3.155
1.978,13.5,0.442,1.902,86.078,0.256,9.365,1.771
2.006,12.93,0.463,2.101,75.172,0.315,13.772,1.732
2.054,13.05,1.341,1.944,75.389,0.281,17.561,2.328
2.368,8.8,1.765,2.318,94.864,0.641,83.23,7.943
2.188,11.35,0.732,2.099,87.775,0.394,45.951,3.922
1.997,11.78,0.307,1.878,71.62,0.236,8.924,1.69
1.956,12.62,0.21,1.804,75.561,0.253,9.883,1.367
1.954,13.61,0.188,1.813,54.171,0.207,3.646,0.718
2.322,8.67,0.875,2.374,85.684,0.524,54.404,4.516
2.405,6.73,1.837,2.419,97.92,1.075,98.795,8.336
1.941,13.56,0.507,2.072,55.99,0.214,6.774,1.098
